5,2,25/07/2024 - 16:06,01/08/2024 - 16:06,False, True
2,4,2024-07-29T16:21,<built-in method strip of str object at 0x0000016AA7D1D570>,False,True
3,4,2024-07-29T16:21,<built-in method strip of str object at 0x0000016AA7D1EAB0>,False,True
4,4,2024-07-29T16:21,<built-in method strip of str object at 0x0000016AA7D1EB00>,False,True
5,4,2024-07-29T16:21,<built-in method strip of str object at 0x0000016AA7D1EBA0>,False,True
6,4,2024-07-29T16:21,<built-in method strip of str object at 0x0000016AA7D1EFB0>,False,True
7,4,2024-07-30T16:34,<built-in method strip of str object at 0x0000026517C197F0>,False,True
8,Laboratório,2024-07-29T21:41,<built-in method strip of str object at 0x0000026517C71CA0>,False,True
9,Laboratório,2024-07-29T21:41,<built-in method strip of str object at 0x00000250F8119520>,False,True
10,Laboratório,2024-07-29T21:41,<built-in method strip of str object at 0x0000012929518FD0>,False,True
11,4,2024-07-30T22:27,2024-07-31T22:27,False,True
12,4,2024-07-30T22:36,2024-07-31T01:36,False,True
13,3,2024-08-30T22:36,2024-08-27T01:36,False,True
14,4,2024-08-19T22:40,2024-09-24T22:40,False,True
15,4,2024-08-19T22:40,2024-09-24T22:40,False,True
16,5,2024-10-02T05:00,2024-10-03T05:00,False,True
